dataset,window_size,score_threshold,order,smoothing_alpha,decision_mode,score_window,max_mapping_distance,ensemble_enabled,ensemble_orders,ensemble_weights,ensemble_aggregation,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,7,0.5108,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.6931,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.9163,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,1.204,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,1.6094,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,2.3026,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,2.9957,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,3.5066,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,3.912,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.26785714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,4.2,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.4642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,8,0.0,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.001,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.005,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.01,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.05,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.1054,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.2231,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.3567,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.5108,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.6931,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.9163,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,1.204,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,1.6094,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,2.3026,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,2.9957,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.3229166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,3.5066,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.5104166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,3.912,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,4.2,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.7395833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,9,0.0,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.001,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.005,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.01,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.05,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.1054,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.2231,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.3567,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.5108,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.6931,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.9163,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,1.204,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,1.6094,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.03614457831325301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,2.3026,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.06024096385542168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,2.9957,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.21686746987951805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,3.5066,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.4337349397590361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,3.912,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.6746987951807228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,4.2,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.8674698795180722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,10,0.0,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812252400722594,454.0,493.0
