candidate_id,window_size,alphabet_size,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,anomaly_threshold,scenario,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,f1_score_min,num_contexts_mean,transition_density_mean
17,3,3,3,1,0.5,0.7,unseen_data,0.04,0.0894427190999916,0.04,0.0894427190999916,0.2,0.447213595499958,0.06666666666666667,0.14907119849998596,0.0,132.8,0.10354044540071641
18,3,3,3,1,0.5,0.9,gaussian_noise,0.5771288393397573,0.16146532507581557,0.33919211098805657,0.18610327889550743,0.5375933972721658,0.2430600276497254,0.40933019330298526,0.20141375722681668,0.13504823151125403,132.8,0.10354044540071641
18,3,3,3,1,0.5,0.9,original,0.58463160350471,0.15828932349519295,0.34415108050486715,0.18636118461609422,0.5350859468991084,0.2408154366879644,0.4121519944253186,0.20056322018389786,0.13755458515283842,132.8,0.10354044540071641
18,3,3,3,1,0.5,0.9,unseen_data,0.04,0.0894427190999916,0.04,0.0894427190999916,0.2,0.447213595499958,0.06666666666666667,0.14907119849998596,0.0,132.8,0.10354044540071641
19,3,3,3,2,0.1,0.5,gaussian_noise,0.6712488609568855,0.0680186921568433,0.41897840201818876,0.31049726855542203,0.21542008704718585,0.13162560283990948,0.2496063425266497,0.11903634534662857,0.0896,132.8,0.10354044540071641
19,3,3,3,2,0.1,0.5,original,0.6771731251237334,0.06467174312306644,0.42886666647006033,0.30346842861743384,0.2169238651025151,0.13568115078482465,0.25247860974156977,0.12128186545560873,0.10180623973727422,132.8,0.10354044540071641
19,3,3,3,2,0.1,0.5,unseen_data,0.08,0.1788854381999832,0.05,0.1118033988749895,0.2,0.447213595499958,0.08,0.1788854381999832,0.0,132.8,0.10354044540071641
20,3,3,3,2,0.1,0.7,gaussian_noise,0.6204059054786197,0.11757661208841094,0.40243182088683815,0.2935310397129978,0.3308789896354763,0.1827515408279545,0.31299353327668467,0.13374850132167274,0.12004801920768307,132.8,0.10354044540071641
20,3,3,3,2,0.1,0.7,original,0.6293719040884727,0.11462897528419493,0.4060257980448944,0.28350881901970604,0.3288627736759176,0.18447076006984703,0.31607341720009885,0.1417357095247213,0.12009803921568628,132.8,0.10354044540071641
20,3,3,3,2,0.1,0.7,unseen_data,0.04,0.0894427190999916,0.04,0.0894427190999916,0.2,0.447213595499958,0.06666666666666667,0.14907119849998596,0.0,132.8,0.10354044540071641
21,3,3,3,2,0.1,0.9,gaussian_noise,0.5772627081483249,0.16141271436843696,0.3392729084401183,0.18606223010406608,0.5375933972721658,0.2430600276497254,0.40939241903042944,0.20138200696315273,0.13504823151125403,132.8,0.10354044540071641
21,3,3,3,2,0.1,0.9,original,0.5847654723132776,0.15822489084328356,0.34423091802850325,0.1863167739988235,0.5350859468991084,0.2408154366879644,0.41221362370895925,0.2005295890764841,0.13755458515283842,132.8,0.10354044540071641
21,3,3,3,2,0.1,0.9,unseen_data,0.04,0.0894427190999916,0.04,0.0894427190999916,0.2,0.447213595499958,0.06666666666666667,0.14907119849998596,0.0,132.8,0.10354044540071641
22,3,3,3,2,0.5,0.5,gaussian_noise,0.6565632434075385,0.07858504107735326,0.4175778058401984,0.288159586115443,0.29043098496977543,0.19233663604312395,0.2936486048910162,0.1465846963001351,0.10130246020260492,132.8,0.10354044540071641
22,3,3,3,2,0.5,0.5,original,0.6650604274908838,0.07308154547778586,0.4278636388033954,0.279646482991625,0.291442231961711,0.19166152979047604,0.29793050753404665,0.1455429269706899,0.11497730711043873,132.8,0.10354044540071641
22,3,3,3,2,0.5,0.5,unseen_data,0.08,0.1788854381999832,0.05,0.1118033988749895,0.2,0.447213595499958,0.08,0.1788854381999832,0.0,132.8,0.10354044540071641
23,3,3,3,2,0.5,0.7,gaussian_noise,0.6065204164030915,0.13299047511716833,0.39917298648808786,0.279226359980681,0.4128436157203595,0.21045945830251633,0.35965019182844377,0.14455716660706705,0.13303769401330376,132.8,0.10354044540071641
23,3,3,3,2,0.5,0.7,original,0.6162821974810033,0.1299311755975968,0.404767331144632,0.2738159884340324,0.41032866530042683,0.21657130165656133,0.3619644780780996,0.15181957135969015,0.13137032842582105,132.8,0.10354044540071641
23,3,3,3,2,0.5,0.7,unseen_data,0.04,0.0894427190999916,0.04,0.0894427190999916,0.2,0.447213595499958,0.06666666666666667,0.14907119849998596,0.0,132.8,0.10354044540071641
