accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,smoothing_alpha,dirichlet_smoothing_enabled,dirichlet_alpha,dirichlet_prior_mode,decision_mode,score_threshold,auto_score_percentile,score_window,max_mapping_distance,num_states,vocab_size,num_transitions,transition_density
0.5,0.1111111111111111,1.0,0.2,unseen_data,BATADAL,dirichlet_smoothing_sweep,2026,4,3,3,0.05,0.1,True,1.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.9073170731707317,0.2,0.5714285714285714,0.2962962962962963,original,BATADAL,dirichlet_smoothing_sweep,7,4,3,3,0.05,0.1,True,1.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.9073170731707317,0.2,0.5714285714285714,0.2962962962962963,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,7,4,3,3,0.05,0.1,True,1.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.5,0.1111111111111111,1.0,0.2,unseen_data,BATADAL,dirichlet_smoothing_sweep,7,4,3,3,0.05,0.1,True,1.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.9073170731707317,0.2,0.5714285714285714,0.2962962962962963,original,BATADAL,dirichlet_smoothing_sweep,999,4,3,3,0.05,0.1,True,1.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8878048780487805,0.16666666666666666,0.5714285714285714,0.25806451612903225,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,999,4,3,3,0.05,0.1,True,1.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.5,0.1111111111111111,1.0,0.2,unseen_data,BATADAL,dirichlet_smoothing_sweep,999,4,3,3,0.05,0.1,True,1.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.9365853658536586,0.2857142857142857,0.5714285714285714,0.38095238095238093,original,BATADAL,dirichlet_smoothing_sweep,42,4,3,3,0.05,0.1,True,2.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.926829268292683,0.25,0.5714285714285714,0.34782608695652173,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,42,4,3,3,0.05,0.1,True,2.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.5625,0.125,1.0,0.2222222222222222,unseen_data,BATADAL,dirichlet_smoothing_sweep,42,4,3,3,0.05,0.1,True,2.0,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
