search_stage,normal_distance_penalty,anomaly_distance_penalty,threshold,recall_constraint_met,predicted_anomaly_count,validation_accuracy,validation_precision,validation_recall,validation_f1_score,dataset,fold,seed,inner_splitter,inner_split_id,validation_sample_count,validation_anomaly_count,normal_merge_alpha,normal_min_state_count,normal_smoothing_alpha,anomaly_merge_alpha,anomaly_min_state_count,anomaly_smoothing_alpha,min_anomaly_run,raw_predicted_anomaly_count,validation_mean_file_f1,validation_min_file_f1,validation_std_file_f1
threshold_temporal_persistence,0.0,2.0,-0.458272277590252,True,758,0.39855072463768115,0.3654353562005277,0.9421768707482994,0.526615969581749,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,3.0,766.0,0.5351725215574845,0.5105782792665726,0.02459424229091195
threshold_temporal_persistence,0.0,2.0,-0.458272277590252,True,755,0.40217391304347827,0.36688741721854307,0.9421768707482994,0.5281220209723546,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,4.0,766.0,0.5376420808097568,0.5105782792665726,0.027063801543184274
threshold_temporal_persistence,0.0,2.0,-0.458272277590252,True,743,0.4166666666666667,0.3728129205921938,0.9421768707482994,0.5342333654773385,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,5.0,766.0,0.5479720664625546,0.5105782792665726,0.037393787195981965
threshold_temporal_persistence,0.0,2.0,-0.458272277590252,True,733,0.42391304347826086,0.37517053206002726,0.935374149659864,0.5355404089581305,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,6.0,766.0,0.5481239445538981,0.5142045454545454,0.033919399099352654
threshold_temporal_persistence,0.0,2.0,-0.458272277590252,True,733,0.42391304347826086,0.37517053206002726,0.935374149659864,0.5355404089581305,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,7.0,766.0,0.5481239445538981,0.5142045454545454,0.033919399099352654
threshold_temporal_persistence,0.0,2.0,-0.458272277590252,True,726,0.4323671497584541,0.3787878787878788,0.935374149659864,0.5392156862745098,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,8.0,766.0,0.5545706271576525,0.5142045454545454,0.040366081703107015
threshold_temporal_persistence,0.0,2.0,-0.458272277590252,True,708,0.4444444444444444,0.3827683615819209,0.9217687074829932,0.5409181636726547,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,10.0,766.0,0.5591156955460647,0.5142045454545454,0.04491115009151925
threshold_temporal_persistence,0.0,2.0,-0.458272277590252,True,698,0.45652173913043476,0.38825214899713467,0.9217687074829932,0.5463709677419355,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,12.0,766.0,0.5696022727272727,0.5142045454545454,0.05539772727272729
threshold_temporal_persistence,0.0,2.0,-0.2946507417678742,True,750,0.41304347826086957,0.372,0.9489795918367347,0.5344827586206896,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,1.0,750.0,0.545672254533014,0.5147679324894515,0.030904322043562527
threshold_temporal_persistence,0.0,2.0,-0.2946507417678742,True,746,0.4178743961352657,0.3739946380697051,0.9489795918367347,0.5365384615384615,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,2.0,750.0,0.5476312027772106,0.5169491525423728,0.030682050234837666
threshold_temporal_persistence,0.0,2.0,-0.2946507417678742,True,738,0.4227053140096618,0.37533875338753386,0.9421768707482994,0.5368217054263565,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,3.0,750.0,0.549785199556541,0.5142045454545454,0.03558065410199557
threshold_temporal_persistence,0.0,2.0,-0.2946507417678742,True,735,0.42632850241545894,0.3768707482993197,0.9421768707482994,0.5383867832847424,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,4.0,750.0,0.5524868881118881,0.5142045454545454,0.038282342657342705
threshold_temporal_persistence,0.0,2.0,-0.2946507417678742,True,715,0.4504830917874396,0.38741258741258744,0.9421768707482994,0.5490584737363726,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,5.0,750.0,0.5718563710879285,0.5142045454545454,0.05765182563338306
threshold_temporal_persistence,0.0,2.0,-0.2946507417678742,True,710,0.45169082125603865,0.3873239436619718,0.935374149659864,0.547808764940239,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,6.0,750.0,0.5704356060606061,0.5142045454545454,0.056231060606060645
threshold_temporal_persistence,0.0,2.0,-0.2946507417678742,True,710,0.45169082125603865,0.3873239436619718,0.935374149659864,0.547808764940239,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,7.0,750.0,0.5704356060606061,0.5142045454545454,0.056231060606060645
threshold_temporal_persistence,0.0,2.0,-0.2946507417678742,True,703,0.4504830917874396,0.38549075391180654,0.9217687074829932,0.5436308926780341,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,8.0,750.0,0.5642695082221533,0.5142045454545454,0.05006496276760786
threshold_temporal_persistence,0.0,2.0,-0.2946507417678742,True,686,0.47101449275362317,0.39504373177842567,0.9217687074829932,0.5530612244897959,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,10.0,750.0,0.5831892292490118,0.5142045454545454,0.06898468379446643
threshold_temporal_persistence,0.0,2.0,-0.2946507417678742,True,686,0.47101449275362317,0.39504373177842567,0.9217687074829932,0.5530612244897959,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,12.0,750.0,0.5831892292490118,0.5142045454545454,0.06898468379446643
threshold_temporal_persistence,0.0,2.0,-0.19458007899440022,True,725,0.4359903381642512,0.38068965517241377,0.9387755102040817,0.5417075564278705,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,1.0,725.0,0.556358823847165,0.5177809388335705,0.03857788501359449
threshold_temporal_persistence,0.0,2.0,-0.19458007899440022,True,713,0.44565217391304346,0.38429172510518933,0.9319727891156463,0.5441906653426017,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,2.0,725.0,0.5608893967263067,0.5178826895565093,0.04300670716979732
threshold_temporal_persistence,0.0,2.0,-0.19458007899440022,True,707,0.44806763285024154,0.38472418670438474,0.9251700680272109,0.5434565434565435,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,3.0,725.0,0.5602658480895129,0.5178826895565093,0.04238315853300362
threshold_temporal_persistence,0.0,2.0,-0.19458007899440022,True,704,0.45169082125603865,0.38636363636363635,0.9251700680272109,0.5450901803607214,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,4.0,725.0,0.5632891708652112,0.5178826895565093,0.0454064813087019
threshold_temporal_persistence,0.0,2.0,-0.19458007899440022,True,696,0.4613526570048309,0.39080459770114945,0.9251700680272109,0.5494949494949495,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,5.0,725.0,0.5716561214105571,0.5178826895565093,0.05377343185404776
threshold_temporal_persistence,0.0,2.0,-0.19458007899440022,True,696,0.4613526570048309,0.39080459770114945,0.9251700680272109,0.5494949494949495,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,6.0,725.0,0.5716561214105571,0.5178826895565093,0.05377343185404776
