accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,model_variant,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,num_states,num_contexts,num_transitions,transition_density
0.25365853658536586,0.0379746835443038,0.8571428571428571,0.07272727272727272,original,BATADAL,param_search,42,4,3,probabilistic_suffix_tree,3,2,1.0,65,367,618,0.02590651854957032
0.2780487804878049,0.0392156862745098,0.8571428571428571,0.075,original,BATADAL,param_search,42,4,3,probabilistic_suffix_tree,3,3,1.0,65,367,618,0.02590651854957032
0.14146341463414633,0.03825136612021858,1.0,0.07368421052631578,original,BATADAL,param_search,42,4,3,probabilistic_suffix_tree,4,1,1.0,65,619,942,0.023412451845408227
0.24878048780487805,0.03773584905660377,0.8571428571428571,0.07228915662650602,original,BATADAL,param_search,42,4,3,probabilistic_suffix_tree,4,2,1.0,65,619,942,0.023412451845408227
0.2731707317073171,0.03896103896103896,0.8571428571428571,0.07453416149068323,original,BATADAL,param_search,42,4,3,probabilistic_suffix_tree,4,3,1.0,65,619,942,0.023412451845408227
0.07317073170731707,0.03553299492385787,1.0,0.06862745098039216,original,BATADAL,param_search,42,4,4,probabilistic_suffix_tree,2,1,1.0,90,246,489,0.022086720867208674
0.09268292682926829,0.03626943005181347,1.0,0.07,original,BATADAL,param_search,42,4,4,probabilistic_suffix_tree,2,2,1.0,90,246,489,0.022086720867208674
0.0975609756097561,0.036458333333333336,1.0,0.07035175879396985,original,BATADAL,param_search,42,4,4,probabilistic_suffix_tree,2,3,1.0,90,246,489,0.022086720867208674
0.05853658536585366,0.035,1.0,0.06763285024154589,original,BATADAL,param_search,42,4,4,probabilistic_suffix_tree,3,1,1.0,90,490,844,0.019138321995464853
0.07804878048780488,0.03571428571428571,1.0,0.06896551724137931,original,BATADAL,param_search,42,4,4,probabilistic_suffix_tree,3,2,1.0,90,490,844,0.019138321995464853
0.08780487804878048,0.03608247422680412,1.0,0.06965174129353234,original,BATADAL,param_search,42,4,4,probabilistic_suffix_tree,3,3,1.0,90,490,844,0.019138321995464853
0.05365853658536585,0.03482587064676617,1.0,0.0673076923076923,original,BATADAL,param_search,42,4,4,probabilistic_suffix_tree,4,1,1.0,90,845,1322,0.017383300460223537
0.07317073170731707,0.03553299492385787,1.0,0.06862745098039216,original,BATADAL,param_search,42,4,4,probabilistic_suffix_tree,4,2,1.0,90,845,1322,0.017383300460223537
0.08780487804878048,0.03608247422680412,1.0,0.06965174129353234,original,BATADAL,param_search,42,4,4,probabilistic_suffix_tree,4,3,1.0,90,845,1322,0.017383300460223537
0.06341463414634146,0.035175879396984924,1.0,0.06796116504854369,original,BATADAL,param_search,42,4,5,probabilistic_suffix_tree,2,1,1.0,151,437,891,0.013502659614772606
0.06341463414634146,0.035175879396984924,1.0,0.06796116504854369,original,BATADAL,param_search,42,4,5,probabilistic_suffix_tree,2,2,1.0,151,437,891,0.013502659614772606
0.06829268292682927,0.03535353535353535,1.0,0.06829268292682927,original,BATADAL,param_search,42,4,5,probabilistic_suffix_tree,2,3,1.0,151,437,891,0.013502659614772606
0.06341463414634146,0.035175879396984924,1.0,0.06796116504854369,original,BATADAL,param_search,42,4,5,probabilistic_suffix_tree,3,1,1.0,151,892,1484,0.011017729338045318
0.06341463414634146,0.035175879396984924,1.0,0.06796116504854369,original,BATADAL,param_search,42,4,5,probabilistic_suffix_tree,3,2,1.0,151,892,1484,0.011017729338045318
0.06829268292682927,0.03535353535353535,1.0,0.06829268292682927,original,BATADAL,param_search,42,4,5,probabilistic_suffix_tree,3,3,1.0,151,892,1484,0.011017729338045318
0.06341463414634146,0.035175879396984924,1.0,0.06796116504854369,original,BATADAL,param_search,42,4,5,probabilistic_suffix_tree,4,1,1.0,151,1485,2191,0.009770999174972685
0.06341463414634146,0.035175879396984924,1.0,0.06796116504854369,original,BATADAL,param_search,42,4,5,probabilistic_suffix_tree,4,2,1.0,151,1485,2191,0.009770999174972685
0.06829268292682927,0.03535353535353535,1.0,0.06829268292682927,original,BATADAL,param_search,42,4,5,probabilistic_suffix_tree,4,3,1.0,151,1485,2191,0.009770999174972685
0.03902439024390244,0.03431372549019608,1.0,0.06635071090047394,original,BATADAL,param_search,42,4,6,probabilistic_suffix_tree,2,1,1.0,220,606,1164,0.008730873087308732
0.03902439024390244,0.03431372549019608,1.0,0.06635071090047394,original,BATADAL,param_search,42,4,6,probabilistic_suffix_tree,2,2,1.0,220,606,1164,0.008730873087308732
0.03902439024390244,0.03431372549019608,1.0,0.06635071090047394,original,BATADAL,param_search,42,4,6,probabilistic_suffix_tree,2,3,1.0,220,606,1164,0.008730873087308732
0.03902439024390244,0.03431372549019608,1.0,0.06635071090047394,original,BATADAL,param_search,42,4,6,probabilistic_suffix_tree,3,1,1.0,220,1166,1863,0.007262591610790582
0.03902439024390244,0.03431372549019608,1.0,0.06635071090047394,original,BATADAL,param_search,42,4,6,probabilistic_suffix_tree,3,2,1.0,220,1166,1863,0.007262591610790582
0.03902439024390244,0.03431372549019608,1.0,0.06635071090047394,original,BATADAL,param_search,42,4,6,probabilistic_suffix_tree,3,3,1.0,220,1166,1863,0.007262591610790582
0.03902439024390244,0.03431372549019608,1.0,0.06635071090047394,original,BATADAL,param_search,42,4,6,probabilistic_suffix_tree,4,1,1.0,220,1865,2663,0.0064903728978796
0.03902439024390244,0.03431372549019608,1.0,0.06635071090047394,original,BATADAL,param_search,42,4,6,probabilistic_suffix_tree,4,2,1.0,220,1865,2663,0.0064903728978796
0.03902439024390244,0.03431372549019608,1.0,0.06635071090047394,original,BATADAL,param_search,42,4,6,probabilistic_suffix_tree,4,3,1.0,220,1865,2663,0.0064903728978796
0.024691358024691357,0.0,0.0,0.0,original,BATADAL,param_search,42,5,3,probabilistic_suffix_tree,2,1,1.0,102,257,459,0.017509727626459144
0.030864197530864196,0.0,0.0,0.0,original,BATADAL,param_search,42,5,3,probabilistic_suffix_tree,2,2,1.0,102,257,459,0.017509727626459144
0.030864197530864196,0.0,0.0,0.0,original,BATADAL,param_search,42,5,3,probabilistic_suffix_tree,2,3,1.0,102,257,459,0.017509727626459144
