dataset,scenario,order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,dirichlet_alpha,dirichlet_prior_mode,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,0.5,uniform,0.4375,0.0,0.1,0.0,1.0,0.0,0.18181818181818182,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,0.5,unigram,0.25,0.0,0.07692307692307693,0.0,1.0,0.0,0.14285714285714285,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,1.0,backoff,0.25,0.0,0.07692307692307693,0.0,1.0,0.0,0.14285714285714285,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,1.0,uniform,0.5,0.0,0.11111111111111112,0.0,1.0,0.0,0.2,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,1.0,unigram,0.3125,0.0,0.08333333333333333,0.0,1.0,0.0,0.15384615384615385,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,2.0,backoff,0.25,0.0,0.07692307692307693,0.0,1.0,0.0,0.14285714285714285,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,2.0,uniform,0.5625,0.0,0.125,0.0,1.0,0.0,0.22222222222222224,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,2.0,unigram,0.3125,0.0,0.08333333333333333,0.0,1.0,0.0,0.15384615384615385,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,5.0,backoff,0.3125,0.0,0.08333333333333333,0.0,1.0,0.0,0.15384615384615385,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,5.0,uniform,0.625,0.0,0.14285714285714285,0.0,1.0,0.0,0.25,0.0,0.023245060949978982,366.0,553.0
BATADAL,unseen_data,3,0.1,avg_negative_log,5,3.912,,5.0,unigram,0.3125,0.0,0.08333333333333333,0.0,1.0,0.0,0.15384615384615385,0.0,0.023245060949978982,366.0,553.0
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,0.01,backoff,0.5968378940000838,0.14988724991959892,0.48626452674200155,0.19691049047105808,0.5595595345605239,0.30773851518539524,0.4757785753291228,0.19830339122697382,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,0.01,uniform,0.5968021477981178,0.14984291808513503,0.48619496878583957,0.19685394273814763,0.5596590370480861,0.3078177107837149,0.47577325667469256,0.1982927713970336,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,0.01,unigram,0.5968021477981178,0.14984291808513503,0.48619496878583957,0.19685394273814763,0.5596590370480861,0.3078177107837149,0.47577325667469256,0.1982927713970336,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,0.05,backoff,0.5968378940000838,0.14988724991959892,0.48626452674200155,0.19691049047105808,0.5595595345605239,0.30773851518539524,0.4757785753291228,0.19830339122697382,0.05091218372849919,233.6,423.2
