search_stage,merge_alpha,min_state_count,smoothing_alpha,max_pattern_distance,distance_penalty,reliability_constant,threshold,normal_states_before,normal_states_after,anomaly_states_before,anomaly_states_after,validation_accuracy,validation_precision,validation_recall,validation_f1_score,validation_unique_score_count,validation_predicted_anomaly_count,validation_normal_score_mean,validation_anomaly_score_mean,validation_score_mean_gap,validation_mapping_disagreement_count,validation_normal_distance_mean,validation_anomaly_distance_mean,validation_reliability_mean,validation_shared_support_mean
distance_and_reliability,0.1,2,0.1,,1.0,0.0,-2.875462524132058,49,19,42,21,0.27941176470588236,0.0759493670886076,0.9230769230769231,0.14035087719298245,93,158,-0.43052920901362746,-1.324512429233471,-0.8939832202198434,140,0.44607843137254904,0.45098039215686275,1.0,21.333333333333332
distance_and_reliability,0.1,2,0.1,,1.0,1.0,-2.635840647121053,49,19,42,21,0.25,0.07317073170731707,0.9230769230769231,0.13559322033898305,92,164,-0.2327709183229661,-0.991735593555823,-0.7589646752328569,140,0.44607843137254904,0.45098039215686275,0.8353222553314785,21.333333333333332
distance_and_reliability,0.1,2,0.1,,1.0,2.0,-2.5591092598513643,49,19,42,21,0.22549019607843138,0.07100591715976332,0.9230769230769231,0.13186813186813187,92,169,-0.18228142165580025,-0.9273375445978022,-0.7450561229420019,140,0.44607843137254904,0.45098039215686275,0.7693919258152081,21.333333333333332
distance_and_reliability,0.1,2,0.1,,1.0,5.0,-2.4738056178563186,49,19,42,21,0.2107843137254902,0.06976744186046512,0.9230769230769231,0.12972972972972974,92,172,-0.11332956496104069,-0.8131675815303434,-0.6998380165693028,140,0.44607843137254904,0.45098039215686275,0.6549308790757001,21.333333333333332
distance_and_reliability,0.1,2,0.1,,1.0,10.0,-2.34360532217967,49,19,42,21,0.18137254901960784,0.06741573033707865,0.9230769230769231,0.1256544502617801,92,178,-0.06434936892733943,-0.6969846577797993,-0.6326352888524599,140,0.44607843137254904,0.45098039215686275,0.5428123545196385,21.333333333333332
distance_and_reliability,0.1,2,0.1,,1.0,20.0,-1.0203254117887948,49,19,42,21,0.25,0.06790123456790123,0.8461538461538461,0.12571428571428572,92,162,-0.025197020926288605,-0.5562693075375338,-0.5310722866112452,140,0.44607843137254904,0.45098039215686275,0.41434432371605906,21.333333333333332
distance_and_reliability,0.1,2,0.1,,2.0,0.0,-2.875462524132058,49,19,42,21,0.30392156862745096,0.0784313725490196,0.9230769230769231,0.14457831325301204,93,153,-0.4213669053487061,-1.4591278138488555,-1.0377609085001493,140,0.44607843137254904,0.45098039215686275,1.0,21.333333333333332
distance_and_reliability,0.1,2,0.1,,2.0,1.0,-2.635840647121053,49,19,42,21,0.25,0.07317073170731707,0.9230769230769231,0.13559322033898305,92,164,-0.21122615081400678,-1.1107505795839936,-0.8995244287699868,140,0.44607843137254904,0.45098039215686275,0.8353222553314785,21.333333333333332
distance_and_reliability,0.1,2,0.1,,2.0,2.0,-2.5591092598513643,49,19,42,21,0.22549019607843138,0.07100591715976332,0.9230769230769231,0.13186813186813187,92,169,-0.15812564686497446,-1.0378148184333293,-0.8796891715683549,140,0.44607843137254904,0.45098039215686275,0.7693919258152081,21.333333333333332
distance_and_reliability,0.1,2,0.1,,2.0,5.0,-2.4738056178563186,49,19,42,21,0.22058823529411764,0.07058823529411765,0.9230769230769231,0.13114754098360656,92,170,-0.08639186281206498,-0.9073794702133863,-0.8209876074013213,140,0.44607843137254904,0.45098039215686275,0.6549308790757001,21.333333333333332
distance_and_reliability,0.1,2,0.1,,2.0,10.0,-2.34360532217967,49,19,42,21,0.20588235294117646,0.06936416184971098,0.9230769230769231,0.12903225806451613,92,173,-0.036617468321802925,-0.7743241590777701,-0.7377066907559672,140,0.44607843137254904,0.45098039215686275,0.5428123545196385,21.333333333333332
distance_and_reliability,0.1,2,0.1,,2.0,20.0,-1.05117382688248,49,19,42,21,0.2696078431372549,0.06962025316455696,0.8461538461538461,0.1286549707602339,92,158,0.0012858764707761594,-0.6140050713231978,-0.615290947793974,140,0.44607843137254904,0.45098039215686275,0.41434432371605906,21.333333333333332
