dataset,scenario,order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,time_decay_enabled,time_decay_rate,time_decay_min_weight,time_decay_candidate,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,0.99,0.001,decay_rate_0.99_min_0.001,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,0.99,0.01,decay_rate_0.99_min_0.01,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,0.99,0.05,decay_rate_0.99_min_0.05,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,0.995,0.001,decay_rate_0.995_min_0.001,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,0.995,0.01,decay_rate_0.995_min_0.01,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,0.995,0.05,decay_rate_0.995_min_0.05,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,0.999,0.001,decay_rate_0.999_min_0.001,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,0.999,0.01,decay_rate_0.999_min_0.01,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,0.999,0.05,decay_rate_0.999_min_0.05,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.5066,,False,0.99,0.01,base_disabled,0.8731707317073172,0.0,0.14814814814814814,0.0,0.5714285714285714,0.0,0.23529411764705882,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.5066,,True,0.95,0.001,decay_rate_0.95_min_0.001,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,3.5066,,True,0.95,0.01,decay_rate_0.95_min_0.01,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
