dataset,model,fold,seed,scenario,window_size,alphabet_size,normal_merge_alpha,normal_min_state_count,normal_smoothing_alpha,anomaly_merge_alpha,anomaly_min_state_count,anomaly_smoothing_alpha,normal_distance_penalty,anomaly_distance_penalty,selected_threshold,min_anomaly_run,validation_f1,validation_recall,validation_recall_constraint_met,selected_pair_shared_parameters,final_training_scope,inner_splitter,inner_split_id,inner_train_file_count,inner_validation_file_count,test_file_count,sample_count,actual_anomaly_count,unseen_count,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count,accuracy,precision,recall,f1_score
SKAB,class_specific_dual_alergia,4,7,gaussian_noise,4,3,0.1,2,0.1,0.01,10,1.0,0.0,0.25,-0.1434021186888391,8,0.5570342205323194,0.9898648648648649,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1095,416,2,35,18,42,0.12962962962962962,30,17,49,0.1695501730103806,65,35,91,0.5251141552511416,0.43643031784841074,0.8581730769230769,0.5786061588330632
SKAB,class_specific_dual_alergia,4,7,unseen_data,4,3,0.1,2,0.1,0.01,10,1.0,0.0,0.25,-0.1434021186888391,8,0.5570342205323194,0.9898648648648649,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,35,18,42,0.12962962962962962,30,17,49,0.1695501730103806,65,35,91,0.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,4,999,original,4,3,0.1,2,0.1,0.01,10,1.0,0.0,0.25,-0.1434021186888391,8,0.5570342205323194,0.9898648648648649,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1095,416,2,35,18,42,0.12962962962962962,30,17,49,0.1695501730103806,65,35,91,0.5388127853881278,0.44458281444582815,0.8581730769230769,0.5857260049220673
SKAB,class_specific_dual_alergia,4,999,gaussian_noise,4,3,0.1,2,0.1,0.01,10,1.0,0.0,0.25,-0.1434021186888391,8,0.5570342205323194,0.9898648648648649,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1095,416,2,35,18,42,0.12962962962962962,30,17,49,0.1695501730103806,65,35,91,0.5351598173515981,0.44363636363636366,0.8798076923076923,0.5898468976631749
SKAB,class_specific_dual_alergia,4,999,unseen_data,4,3,0.1,2,0.1,0.01,10,1.0,0.0,0.25,-0.1434021186888391,8,0.5570342205323194,0.9898648648648649,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,35,18,42,0.12962962962962962,30,17,49,0.1695501730103806,65,35,91,0.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,5,42,original,4,3,0.01,5,0.1,0.05,10,1.0,0.0,0.0,-0.6280435280142846,10,0.5814696485623003,0.9285714285714286,True,False,inner_train_calibrated,StratifiedGroupKFold,1,10,2,4,1118,417,0,38,24,47,0.08159722222222222,29,24,46,0.0798611111111111,67,48,93,0.5554561717352415,0.32142857142857145,0.17266187050359713,0.22464898595943839
SKAB,class_specific_dual_alergia,5,42,gaussian_noise,4,3,0.01,5,0.1,0.05,10,1.0,0.0,0.0,-0.6280435280142846,10,0.5814696485623003,0.9285714285714286,True,False,inner_train_calibrated,StratifiedGroupKFold,1,10,2,4,1118,417,0,38,24,47,0.08159722222222222,29,24,46,0.0798611111111111,67,48,93,0.5661896243291592,0.3411214953271028,0.1750599520383693,0.23137876386687797
SKAB,class_specific_dual_alergia,5,42,unseen_data,4,3,0.01,5,0.1,0.05,10,1.0,0.0,0.0,-0.6280435280142846,10,0.5814696485623003,0.9285714285714286,True,False,inner_train_calibrated,StratifiedGroupKFold,1,10,2,4,0,0,0,38,24,47,0.08159722222222222,29,24,46,0.0798611111111111,67,48,93,0.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,5,123,original,4,3,0.1,5,0.1,0.01,10,1.0,0.0,0.25,-0.5902535099916933,12,0.6033057851239669,0.9931972789115646,True,False,inner_train_calibrated,StratifiedGroupKFold,1,10,2,4,1118,417,0,38,27,52,0.07133058984910837,29,23,46,0.08695652173913043,67,50,98,0.6019677996422182,0.4186046511627907,0.17266187050359713,0.24448217317487267
SKAB,class_specific_dual_alergia,5,123,gaussian_noise,4,3,0.1,5,0.1,0.01,10,1.0,0.0,0.25,-0.5902535099916933,12,0.6033057851239669,0.9931972789115646,True,False,inner_train_calibrated,StratifiedGroupKFold,1,10,2,4,1118,417,0,38,27,52,0.07133058984910837,29,23,46,0.08695652173913043,67,50,98,0.610912343470483,0.4430379746835443,0.16786570743405277,0.24347826086956523
SKAB,class_specific_dual_alergia,5,123,unseen_data,4,3,0.1,5,0.1,0.01,10,1.0,0.0,0.25,-0.5902535099916933,12,0.6033057851239669,0.9931972789115646,True,False,inner_train_calibrated,StratifiedGroupKFold,1,10,2,4,0,0,0,38,27,52,0.07133058984910837,29,23,46,0.08695652173913043,67,50,98,0.0,0.0,0.0,0.0
