dataset,fold,seed,method,scenario,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,distance_penalty,min_anomaly_run,min_validation_recall,selected_threshold,minimum_block_length,minimum_sum_margin,baseline_selected,sample_count,actual_anomaly_count,unseen_count,accuracy,precision,recall,f1_score
SKAB,2,999,persistence_baseline,unseen_data,4,3,0.01,2,0.1,0.0,1,0.7,-4.4788379426633576,1,0.0,True,2,0,2,0.0,0.0,0.0,0.0
SKAB,2,999,persistence_plus_block_confidence,unseen_data,4,3,0.01,2,0.1,0.0,1,0.7,-4.4788379426633576,1,0.0,True,2,0,2,0.0,0.0,0.0,0.0
SKAB,3,42,persistence_baseline,original,4,3,0.01,5,0.1,2.0,3,0.7,0.023053437022547953,3,0.0,True,1111,398,1,0.6345634563456346,0.4912663755458515,0.5653266331658291,0.5257009345794392
SKAB,3,42,persistence_plus_block_confidence,original,4,3,0.01,5,0.1,2.0,3,0.7,0.023053437022547953,3,0.0,True,1111,398,1,0.6345634563456346,0.4912663755458515,0.5653266331658291,0.5257009345794392
SKAB,3,42,persistence_baseline,gaussian_noise,4,3,0.01,5,0.1,2.0,3,0.7,0.023053437022547953,3,0.0,True,1111,398,1,0.6354635463546354,0.4923747276688453,0.5678391959798995,0.5274212368728122
SKAB,3,42,persistence_plus_block_confidence,gaussian_noise,4,3,0.01,5,0.1,2.0,3,0.7,0.023053437022547953,3,0.0,True,1111,398,1,0.6354635463546354,0.4923747276688453,0.5678391959798995,0.5274212368728122
SKAB,3,42,persistence_baseline,unseen_data,4,3,0.01,5,0.1,2.0,3,0.7,0.023053437022547953,3,0.0,True,1,0,1,1.0,0.0,0.0,0.0
SKAB,3,42,persistence_plus_block_confidence,unseen_data,4,3,0.01,5,0.1,2.0,3,0.7,0.023053437022547953,3,0.0,True,1,0,1,1.0,0.0,0.0,0.0
SKAB,3,123,persistence_baseline,original,4,3,0.05,2,0.1,0.0,5,0.7,-0.19576886046408415,5,17.033088821399133,False,1111,398,1,0.45184518451845185,0.3742550655542312,0.7889447236180904,0.50767987065481
SKAB,3,123,persistence_plus_block_confidence,original,4,3,0.05,2,0.1,0.0,5,0.7,-0.19576886046408415,5,17.033088821399133,False,1111,398,1,0.5256525652565257,0.3722772277227723,0.4723618090452261,0.416389811738649
SKAB,3,123,persistence_baseline,gaussian_noise,4,3,0.05,2,0.1,0.0,5,0.7,-0.19576886046408415,5,17.033088821399133,False,1111,398,1,0.45454545454545453,0.37409200968523004,0.7763819095477387,0.5049019607843137
SKAB,3,123,persistence_plus_block_confidence,gaussian_noise,4,3,0.05,2,0.1,0.0,5,0.7,-0.19576886046408415,5,17.033088821399133,False,1111,398,1,0.5256525652565257,0.3722772277227723,0.4723618090452261,0.416389811738649
SKAB,3,123,persistence_baseline,unseen_data,4,3,0.05,2,0.1,0.0,5,0.7,-0.19576886046408415,5,17.033088821399133,False,1,0,1,0.0,0.0,0.0,0.0
SKAB,3,123,persistence_plus_block_confidence,unseen_data,4,3,0.05,2,0.1,0.0,5,0.7,-0.19576886046408415,5,17.033088821399133,False,1,0,1,0.0,0.0,0.0,0.0
SKAB,3,2026,persistence_baseline,original,4,3,0.01,10,0.1,0.0,8,0.7,-3.2271176297633044,8,0.0,True,1111,398,1,0.35913591359135916,0.35855855855855856,1.0,0.5278514588859416
SKAB,3,2026,persistence_plus_block_confidence,original,4,3,0.01,10,0.1,0.0,8,0.7,-3.2271176297633044,8,0.0,True,1111,398,1,0.35913591359135916,0.35855855855855856,1.0,0.5278514588859416
SKAB,3,2026,persistence_baseline,gaussian_noise,4,3,0.01,10,0.1,0.0,8,0.7,-3.2271176297633044,8,0.0,True,1111,398,1,0.35913591359135916,0.35855855855855856,1.0,0.5278514588859416
SKAB,3,2026,persistence_plus_block_confidence,gaussian_noise,4,3,0.01,10,0.1,0.0,8,0.7,-3.2271176297633044,8,0.0,True,1111,398,1,0.35913591359135916,0.35855855855855856,1.0,0.5278514588859416
SKAB,3,2026,persistence_baseline,unseen_data,4,3,0.01,10,0.1,0.0,8,0.7,-3.2271176297633044,8,0.0,True,1,0,1,0.0,0.0,0.0,0.0
SKAB,3,2026,persistence_plus_block_confidence,unseen_data,4,3,0.01,10,0.1,0.0,8,0.7,-3.2271176297633044,8,0.0,True,1,0,1,0.0,0.0,0.0,0.0
SKAB,3,7,persistence_baseline,original,4,3,0.05,2,0.1,0.0,5,0.7,-0.19576886046408415,5,17.033088821399133,False,1111,398,1,0.45184518451845185,0.3742550655542312,0.7889447236180904,0.50767987065481
SKAB,3,7,persistence_plus_block_confidence,original,4,3,0.05,2,0.1,0.0,5,0.7,-0.19576886046408415,5,17.033088821399133,False,1111,398,1,0.5256525652565257,0.3722772277227723,0.4723618090452261,0.416389811738649
SKAB,3,7,persistence_baseline,gaussian_noise,4,3,0.05,2,0.1,0.0,5,0.7,-0.19576886046408415,5,17.033088821399133,False,1111,398,1,0.43744374437443745,0.362089914945322,0.7487437185929648,0.4881244881244881
SKAB,3,7,persistence_plus_block_confidence,gaussian_noise,4,3,0.05,2,0.1,0.0,5,0.7,-0.19576886046408415,5,17.033088821399133,False,1111,398,1,0.5256525652565257,0.3722772277227723,0.4723618090452261,0.416389811738649
SKAB,3,7,persistence_baseline,unseen_data,4,3,0.05,2,0.1,0.0,5,0.7,-0.19576886046408415,5,17.033088821399133,False,1,0,1,0.0,0.0,0.0,0.0
SKAB,3,7,persistence_plus_block_confidence,unseen_data,4,3,0.05,2,0.1,0.0,5,0.7,-0.19576886046408415,5,17.033088821399133,False,1,0,1,0.0,0.0,0.0,0.0
SKAB,3,999,persistence_baseline,original,4,3,0.01,5,0.1,2.0,3,0.7,0.023053437022547953,3,0.0,True,1111,398,1,0.6345634563456346,0.4912663755458515,0.5653266331658291,0.5257009345794392
SKAB,3,999,persistence_plus_block_confidence,original,4,3,0.01,5,0.1,2.0,3,0.7,0.023053437022547953,3,0.0,True,1111,398,1,0.6345634563456346,0.4912663755458515,0.5653266331658291,0.5257009345794392
SKAB,3,999,persistence_baseline,gaussian_noise,4,3,0.01,5,0.1,2.0,3,0.7,0.023053437022547953,3,0.0,True,1111,398,1,0.6354635463546354,0.4923413566739606,0.5653266331658291,0.5263157894736842
SKAB,3,999,persistence_plus_block_confidence,gaussian_noise,4,3,0.01,5,0.1,2.0,3,0.7,0.023053437022547953,3,0.0,True,1111,398,1,0.6354635463546354,0.4923413566739606,0.5653266331658291,0.5263157894736842
SKAB,3,999,persistence_baseline,unseen_data,4,3,0.01,5,0.1,2.0,3,0.7,0.023053437022547953,3,0.0,True,1,0,1,1.0,0.0,0.0,0.0
SKAB,3,999,persistence_plus_block_confidence,unseen_data,4,3,0.01,5,0.1,2.0,3,0.7,0.023053437022547953,3,0.0,True,1,0,1,1.0,0.0,0.0,0.0
SKAB,4,42,persistence_baseline,original,4,3,0.01,10,0.1,0.0,5,0.7,0.012653297886790427,5,0.0,True,1095,416,2,0.5232876712328767,0.43908045977011495,0.9182692307692307,0.5940902021772939
SKAB,4,42,persistence_plus_block_confidence,original,4,3,0.01,10,0.1,0.0,5,0.7,0.012653297886790427,5,0.0,True,1095,416,2,0.5232876712328767,0.43908045977011495,0.9182692307692307,0.5940902021772939
