dataset,order,anomaly_threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
SKAB,2,0.3,0.6129708437228503,0.07230052510795655,0.46491419762336206,0.21595878451407685,0.2535154930539211,0.1882823058686126,0.29090756019374714,0.18139904573013396,0.05312948588128903,104.8,198.0
SKAB,2,0.4,0.6092623387429513,0.09894708201126774,0.48174560306585534,0.21487143682708792,0.3389690588551253,0.21122184636264227,0.35893198263193143,0.18875403303950428,0.05312948588128903,104.8,198.0
SKAB,2,0.5,0.6132158651363482,0.11866168494708167,0.4937584625956765,0.21999702730227066,0.41445865379942204,0.2529055090125615,0.4091031096371898,0.20174469697121175,0.05312948588128903,104.8,198.0
SKAB,2,0.6,0.6100142056822627,0.12353341061588985,0.49628028287688186,0.22162288614466163,0.43492394028955217,0.2526071573629623,0.42159385251580767,0.1958263256791541,0.05312948588128903,104.8,198.0
SKAB,2,0.7,0.6085673587304036,0.1258209689067566,0.4972882839924854,0.21985138889302075,0.4394352184850409,0.25061304119039374,0.4243063443707517,0.19373250909600562,0.05312948588128903,104.8,198.0
SKAB,2,0.8,0.6085673587304036,0.1258209689067566,0.4972882839924854,0.21985138889302075,0.4394352184850409,0.25061304119039374,0.4243063443707517,0.19373250909600562,0.05312948588128903,104.8,198.0
SKAB,2,0.9,0.5327681535120776,0.1821614903923799,0.37639190055189437,0.19050171952744288,0.5361284440863576,0.31651091334844755,0.43699853761780444,0.23334129491706324,0.05312948588128903,104.8,198.0
SKAB,3,0.05,0.6416089493123287,0.015381294322282184,0.48749554197555595,0.22616279766843717,0.06559304988193489,0.08116817340723083,0.10296039957463948,0.11320459828256467,0.05091218372849919,233.6,423.2
SKAB,3,0.1,0.636861464210018,0.03140576461658664,0.4863832378454794,0.21925697499980804,0.14615512055905572,0.1602564394805722,0.19125776671676714,0.16677195100238992,0.05091218372849919,233.6,423.2
SKAB,3,0.2,0.6215392269937481,0.07047291749529287,0.4749882951866536,0.2207280938316661,0.25254043098963397,0.19934213969212858,0.2914160184182302,0.19031586327491967,0.05091218372849919,233.6,423.2
SKAB,3,0.3,0.6100003006656087,0.09616035664070617,0.47719975747697374,0.2073825123758059,0.33748900296298495,0.21391245754752833,0.3569603100326982,0.18938574485601067,0.05091218372849919,233.6,423.2
SKAB,3,0.4,0.6097037967461685,0.1162521244994315,0.4870960771137068,0.21434370947872014,0.40397728232070107,0.2480499485608258,0.3993380430617275,0.20322086080901983,0.05091218372849919,233.6,423.2
SKAB,3,0.5,0.6092342146225053,0.1267173895389617,0.4954788510894846,0.21724490045463463,0.4544578496899188,0.2679717554127413,0.429879536195859,0.19950053463669232,0.05091218372849919,233.6,423.2
SKAB,3,0.6,0.6072827489570327,0.13124653566361316,0.4996496374534027,0.21803726512809954,0.4719430615844334,0.2647909185850067,0.4409823419625989,0.19335725970416362,0.05091218372849919,233.6,423.2
SKAB,3,0.7,0.6071015895367429,0.13157671292157344,0.49957772604825385,0.21815841509073175,0.4719430615844334,0.2647909185850067,0.4409455353079557,0.19341522167494393,0.05091218372849919,233.6,423.2
SKAB,3,0.8,0.6071015895367429,0.13157671292157344,0.49957772604825385,0.21815841509073175,0.4719430615844334,0.2647909185850067,0.4409455353079557,0.19341522167494393,0.05091218372849919,233.6,423.2
SKAB,3,0.9,0.5415461692082133,0.19104555481081148,0.39379321781458004,0.20271330946418384,0.5481335377749096,0.31458630696753126,0.45074111710348036,0.23514184191424195,0.05091218372849919,233.6,423.2
SKAB,4,0.05,0.6376424418489872,0.019414542223008896,0.4697932610097273,0.19927467479871644,0.07559566836844969,0.08197531075177483,0.11770511003787773,0.11165919451517232,0.04869467174957779,458.8,795.0
SKAB,4,0.1,0.6283877316007425,0.048855625270773334,0.48212463292944696,0.20782616511574584,0.19710960880072662,0.1701462845294002,0.24533177626889344,0.16983290555256023,0.04869467174957779,458.8,795.0
SKAB,4,0.2,0.6183932768659406,0.09583585672247638,0.47636283905176235,0.21745771195657973,0.3234926375006262,0.229561967775543,0.3458151730237752,0.21160932677748773,0.04869467174957779,458.8,795.0
SKAB,4,0.3,0.605777485368703,0.11913780261766845,0.4839511574575137,0.21244537963015497,0.39496970736664117,0.238271008730204,0.3936733366174016,0.2006422319521689,0.04869467174957779,458.8,795.0
SKAB,4,0.4,0.6129780705685814,0.12941228513933917,0.5002283222970515,0.22159557648255235,0.4634704060183958,0.27437318604498145,0.43718876285464914,0.2032265150737577,0.04869467174957779,458.8,795.0
SKAB,4,0.5,0.6065327993314973,0.13438911479479923,0.497737349694451,0.21513967745186935,0.4914470454246309,0.28219351094967604,0.4479596325741075,0.19880080314836376,0.04869467174957779,458.8,795.0
SKAB,4,0.6,0.6056443788140681,0.1357193202705556,0.5007854978610667,0.21515180227677766,0.49895334233898664,0.2761119953171867,0.4537322328355469,0.1923001280275682,0.04869467174957779,458.8,795.0
SKAB,4,0.7,0.6054632193937782,0.13605144670297806,0.5007145195253497,0.2152708592440606,0.49895334233898664,0.2761119953171867,0.4536936562538352,0.19236133346086318,0.04869467174957779,458.8,795.0
SKAB,4,0.8,0.6054632193937782,0.13605144670297806,0.5007145195253497,0.2152708592440606,0.49895334233898664,0.2761119953171867,0.4536936562538352,0.19236133346086318,0.04869467174957779,458.8,795.0
SKAB,4,0.9,0.5342358745587636,0.18656628940398753,0.38696973298715953,0.19259105318410005,0.5270235177775832,0.3031481789351603,0.4385481593957385,0.22329448669478036,0.04869467174957779,458.8,795.0
