fold,seed,scenario,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,baseline_predicted_anomaly_count,baseline_raw_predicted_anomaly_count,baseline_validation_f1_score,baseline_validation_precision,baseline_validation_recall,hysteresis_accuracy,hysteresis_precision,hysteresis_recall,hysteresis_f1_score,hysteresis_predicted_anomaly_count,hysteresis_raw_predicted_anomaly_count,hysteresis_validation_f1_score,hysteresis_validation_precision,hysteresis_validation_recall,hysteresis_baseline_selected,hysteresis_high_threshold,hysteresis_low_threshold,hysteresis_hysteresis_width,hysteresis_min_anomaly_run,actual_hysteresis_selected,accuracy_difference,precision_difference,recall_difference,f1_score_difference,predicted_anomaly_count_difference,f1_winner
4,999,original,0.4602739726027397,0.4047878128400435,0.8942307692307693,0.5573033707865168,919,919,0.5363636363636364,0.3669154228855721,0.9966216216216216,0.5342465753424658,0.4418316831683168,0.8581730769230769,0.5833333333333334,808,919,0.5629770992366412,0.3922872340425531,0.9966216216216216,False,-0.00459220134157,-0.0752105951148081,0.070618393773238,8,True,0.07397260273972606,0.037043870328273276,-0.0360576923076924,0.026029962546816554,-111,hysteresis
4,2026,gaussian_noise,0.4730593607305936,0.4112458654906284,0.8966346153846154,0.563869992441421,907,907,0.5363636363636364,0.3669154228855721,0.9966216216216216,0.554337899543379,0.4539641943734015,0.8533653846153846,0.5926544240400667,782,907,0.5629770992366412,0.3922872340425531,0.9966216216216216,False,-0.00459220134157,-0.0752105951148081,0.070618393773238,8,True,0.08127853881278535,0.042718328882773104,-0.04326923076923084,0.028784431598645743,-125,hysteresis
4,2026,original,0.4602739726027397,0.4047878128400435,0.8942307692307693,0.5573033707865168,919,919,0.5363636363636364,0.3669154228855721,0.9966216216216216,0.5342465753424658,0.4418316831683168,0.8581730769230769,0.5833333333333334,808,919,0.5629770992366412,0.3922872340425531,0.9966216216216216,False,-0.00459220134157,-0.0752105951148081,0.070618393773238,8,True,0.07397260273972606,0.037043870328273276,-0.0360576923076924,0.026029962546816554,-111,hysteresis
5,7,gaussian_noise,0.387298747763864,0.3701550387596899,0.9160671462829736,0.5272601794340924,1032,1032,0.5353159851301115,0.3682864450127877,0.979591836734694,0.4874776386404293,0.3849557522123893,0.6258992805755396,0.4767123287671233,678,747,0.5817805383022774,0.4181547619047619,0.95578231292517,False,-0.2641515750415868,-0.8570437002377901,0.5928921251962033,8,True,0.10017889087656529,0.014800713452699399,-0.290167865707434,-0.05054785066696915,-354,baseline
5,7,original,0.3899821109123434,0.3717328170377541,0.920863309352518,0.5296551724137931,1033,1033,0.5353159851301115,0.3682864450127877,0.979591836734694,0.4928443649373882,0.3916184971098266,0.6498800959232613,0.4887285843101893,692,753,0.5817805383022774,0.4181547619047619,0.95578231292517,False,-0.2641515750415868,-0.8570437002377901,0.5928921251962033,8,True,0.10286225402504479,0.019885680072072476,-0.2709832134292567,-0.040926588103603834,-341,baseline
5,42,gaussian_noise,0.3962432915921288,0.3754826254826255,0.9328537170263788,0.5354439091534756,1036,1036,0.5353159851301115,0.3682864450127877,0.979591836734694,0.4910554561717352,0.3875739644970414,0.6282973621103117,0.4794144556267155,676,738,0.5817805383022774,0.4181547619047619,0.95578231292517,False,-0.2641515750415868,-0.8570437002377901,0.5928921251962033,8,True,0.0948121645796064,0.012091339014415892,-0.30455635491606703,-0.05602945352676014,-360,baseline
5,42,original,0.3899821109123434,0.3717328170377541,0.920863309352518,0.5296551724137931,1033,1033,0.5353159851301115,0.3682864450127877,0.979591836734694,0.4928443649373882,0.3916184971098266,0.6498800959232613,0.4887285843101893,692,753,0.5817805383022774,0.4181547619047619,0.95578231292517,False,-0.2641515750415868,-0.8570437002377901,0.5928921251962033,8,True,0.10286225402504479,0.019885680072072476,-0.2709832134292567,-0.040926588103603834,-341,baseline
5,123,gaussian_noise,0.4686940966010733,0.2677165354330709,0.2446043165467626,0.2556390977443609,381,381,0.5784114052953157,0.4127906976744186,0.9659863945578232,0.5286225402504472,0.4118589743589743,0.6163069544364509,0.4937560038424591,624,735,0.6024844720496895,0.4330357142857143,0.9897959183673468,False,-0.0216627188261371,-0.5560204558814213,0.5343577370552841,12,True,0.059928443649373886,0.1441424389259034,0.37170263788968827,0.2381169060980982,243,hysteresis
5,123,original,0.4785330948121646,0.2768817204301075,0.2470023980815347,0.2610899873257287,372,372,0.5784114052953157,0.4127906976744186,0.9659863945578232,0.5572450805008945,0.4354304635761589,0.6306954436450839,0.515181194906954,604,740,0.6024844720496895,0.4330357142857143,0.9897959183673468,False,-0.0216627188261371,-0.5560204558814213,0.5343577370552841,12,True,0.07871198568872989,0.15854874314605139,0.3836930455635492,0.25409120758122533,232,hysteresis
5,999,gaussian_noise,0.3926654740608229,0.3742802303262956,0.935251798561151,0.5346127484578478,1042,1042,0.5353159851301115,0.3682864450127877,0.979591836734694,0.4856887298747764,0.3874643874643874,0.6522781774580336,0.486148346738159,702,753,0.5817805383022774,0.4181547619047619,0.95578231292517,False,-0.2641515750415868,-0.8570437002377901,0.5928921251962033,8,True,0.09302325581395349,0.01318415713809179,-0.2829736211031174,-0.0484644017196888,-340,baseline
