dataset,decision_mode,order,smoothing_alpha,score_window,score_threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,avg_negative_log,3,0.01,5,3.912,0.8731707317073172,0.0,0.14814814814814814,0.0,0.5714285714285714,0.0,0.23529411764705882,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,3,0.1,5,3.5066,0.8731707317073172,0.0,0.14814814814814814,0.0,0.5714285714285714,0.0,0.23529411764705882,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,4,0.01,5,3.912,0.8731707317073172,0.0,0.14814814814814814,0.0,0.5714285714285714,0.0,0.23529411764705882,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,4,0.1,5,3.5066,0.8731707317073172,0.0,0.14814814814814814,0.0,0.5714285714285714,0.0,0.23529411764705882,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,3,0.1,10,3.2189,0.8292682926829269,0.0,0.13157894736842105,0.0,0.7142857142857143,0.0,0.22222222222222224,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,2,0.1,5,3.5066,0.8585365853658538,0.0,0.13333333333333333,0.0,0.5714285714285714,0.0,0.21621621621621623,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,2,0.01,5,3.912,0.853658536585366,0.0,0.12903225806451613,0.0,0.5714285714285714,0.0,0.21052631578947367,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,2,0.1,10,3.2189,0.8097560975609757,0.0,0.11904761904761904,0.0,0.7142857142857143,0.0,0.20408163265306123,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,4,0.1,10,3.2189,0.8097560975609757,0.0,0.11904761904761904,0.0,0.7142857142857143,0.0,0.20408163265306123,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,2,0.5,10,3.5066,0.7317073170731707,0.0,0.1129032258064516,0.0,1.0,0.0,0.2028985507246377,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,3,0.5,10,3.5066,0.7073170731707317,0.0,0.1044776119402985,0.0,1.0,0.0,0.1891891891891892,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,2,1.0,3,3.912,0.7853658536585366,0.0,0.10638297872340426,0.0,0.7142857142857143,0.0,0.18518518518518517,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,3,1.0,3,3.912,0.775609756097561,0.0,0.10204081632653061,0.0,0.7142857142857143,0.0,0.17857142857142858,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,4,1.0,3,3.912,0.7658536585365854,0.0,0.09803921568627451,0.0,0.7142857142857143,0.0,0.1724137931034483,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,3,0.1,10,2.9957,0.6585365853658537,0.0,0.09090909090909091,0.0,1.0,0.0,0.16666666666666666,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,4,0.5,10,3.5066,0.6536585365853659,0.0,0.08974358974358974,0.0,1.0,0.0,0.16470588235294117,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,4,0.01,10,3.2189,0.7463414634146341,0.0,0.09090909090909091,0.0,0.7142857142857143,0.0,0.16129032258064516,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,2,0.1,10,2.9957,0.6292682926829268,0.0,0.08433734939759036,0.0,1.0,0.0,0.15555555555555556,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,3,0.01,10,2.9957,0.6292682926829268,0.0,0.08433734939759036,0.0,1.0,0.0,0.15555555555555556,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,3,0.01,10,3.2189,0.7317073170731707,0.0,0.08620689655172414,0.0,0.7142857142857143,0.0,0.15384615384615385,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,4,0.1,10,2.9957,0.6195121951219512,0.0,0.08235294117647059,0.0,1.0,0.0,0.15217391304347827,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,3,0.01,5,3.5066,0.7268292682926829,0.0,0.0847457627118644,0.0,0.7142857142857143,0.0,0.15151515151515152,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,4,0.01,5,3.5066,0.7268292682926829,0.0,0.0847457627118644,0.0,0.7142857142857143,0.0,0.15151515151515152,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,3,0.01,3,3.5066,0.6682926829268293,0.0,0.0821917808219178,0.0,0.8571428571428571,0.0,0.15,0.0,0.023245060949978982,366.0,553.0
