accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,smoothing_alpha,decision_mode,score_threshold,auto_score_percentile,score_window,max_mapping_distance,entropy_threshold,entropy_mode,entropy_min_total_exits,num_states,vocab_size,num_transitions,transition_density
0.6195121951219512,0.06172839506172839,0.7142857142857143,0.11363636363636363,original,BATADAL,entropy_threshold_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.95,normalized,1,366,65,553,0.023245060949978982
0.6146341463414634,0.06097560975609756,0.7142857142857143,0.11235955056179775,gaussian_noise,BATADAL,entropy_threshold_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.95,normalized,1,366,65,553,0.023245060949978982
0.8125,0.25,1.0,0.4,unseen_data,BATADAL,entropy_threshold_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.95,normalized,1,366,65,553,0.023245060949978982
0.6195121951219512,0.06172839506172839,0.7142857142857143,0.11363636363636363,original,BATADAL,entropy_threshold_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.95,normalized,1,366,65,553,0.023245060949978982
0.6292682926829268,0.06329113924050633,0.7142857142857143,0.11627906976744186,gaussian_noise,BATADAL,entropy_threshold_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.95,normalized,1,366,65,553,0.023245060949978982
0.8125,0.25,1.0,0.4,unseen_data,BATADAL,entropy_threshold_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.95,normalized,1,366,65,553,0.023245060949978982
0.6195121951219512,0.06172839506172839,0.7142857142857143,0.11363636363636363,original,BATADAL,entropy_threshold_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.95,normalized,1,366,65,553,0.023245060949978982
0.6292682926829268,0.06329113924050633,0.7142857142857143,0.11627906976744186,gaussian_noise,BATADAL,entropy_threshold_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.95,normalized,1,366,65,553,0.023245060949978982
0.8125,0.25,1.0,0.4,unseen_data,BATADAL,entropy_threshold_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.95,normalized,1,366,65,553,0.023245060949978982
0.703472840605521,0.765625,0.24438902743142144,0.3705103969754253,original,SKAB,entropy_threshold_fold_1,42,4,3,3,0.9,0.5,avg_negative_log,0.2231,,10,,0.7,normalized,1,225,35,400,0.050793650793650794
0.6963490650044524,0.7,0.26184538653366585,0.3811252268602541,gaussian_noise,SKAB,entropy_threshold_fold_1,42,4,3,3,0.9,0.5,avg_negative_log,0.2231,,10,,0.7,normalized,1,225,35,400,0.050793650793650794
0.0,0.0,0.0,0.0,unseen_data,SKAB,entropy_threshold_fold_1,42,4,3,3,0.9,0.5,avg_negative_log,0.2231,,10,,0.7,normalized,1,225,35,400,0.050793650793650794
0.703472840605521,0.765625,0.24438902743142144,0.3705103969754253,original,SKAB,entropy_threshold_fold_1,123,4,3,3,0.9,0.5,avg_negative_log,0.2231,,10,,0.7,normalized,1,225,35,400,0.050793650793650794
0.699020480854853,0.7560975609756098,0.23192019950124687,0.3549618320610687,gaussian_noise,SKAB,entropy_threshold_fold_1,123,4,3,3,0.9,0.5,avg_negative_log,0.2231,,10,,0.7,normalized,1,225,35,400,0.050793650793650794
0.0,0.0,0.0,0.0,unseen_data,SKAB,entropy_threshold_fold_1,123,4,3,3,0.9,0.5,avg_negative_log,0.2231,,10,,0.7,normalized,1,225,35,400,0.050793650793650794
0.703472840605521,0.765625,0.24438902743142144,0.3705103969754253,original,SKAB,entropy_threshold_fold_1,2026,4,3,3,0.9,0.5,avg_negative_log,0.2231,,10,,0.7,normalized,1,225,35,400,0.050793650793650794
0.678539626001781,0.6282051282051282,0.24438902743142144,0.3518850987432675,gaussian_noise,SKAB,entropy_threshold_fold_1,2026,4,3,3,0.9,0.5,avg_negative_log,0.2231,,10,,0.7,normalized,1,225,35,400,0.050793650793650794
0.0,0.0,0.0,0.0,unseen_data,SKAB,entropy_threshold_fold_1,2026,4,3,3,0.9,0.5,avg_negative_log,0.2231,,10,,0.7,normalized,1,225,35,400,0.050793650793650794
0.703472840605521,0.765625,0.24438902743142144,0.3705103969754253,original,SKAB,entropy_threshold_fold_1,7,4,3,3,0.9,0.5,avg_negative_log,0.2231,,10,,0.7,normalized,1,225,35,400,0.050793650793650794
