accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,smoothing_alpha,decision_mode,score_threshold,score_window,num_states,vocab_size,num_transitions,transition_density
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.05000161370373939,1.0,avg_negative_log,2.9957,3,184,65,301,0.02516722408026756
0.11219512195121951,0.037037037037037035,1.0,0.07142857142857142,original,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.05000161370373939,1.0,avg_negative_log,2.9957,3,184,65,301,0.02516722408026756
0.12682926829268293,0.03763440860215054,1.0,0.07253886010362694,gaussian_noise,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.05000161370373939,1.0,avg_negative_log,2.9957,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.05000161370373939,1.0,avg_negative_log,2.9957,3,184,65,301,0.02516722408026756
0.1902439024390244,0.04046242774566474,1.0,0.07777777777777778,original,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.03999903300641667,1.0,avg_negative_log,3.2189,3,184,65,301,0.02516722408026756
0.22439024390243903,0.04216867469879518,1.0,0.08092485549132948,gaussian_noise,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.03999903300641667,1.0,avg_negative_log,3.2189,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.03999903300641667,1.0,avg_negative_log,3.2189,3,184,65,301,0.02516722408026756
0.1902439024390244,0.04046242774566474,1.0,0.07777777777777778,original,BATADAL,avg_negative_log_window_sweep,123,4,3,2,0.03999903300641667,1.0,avg_negative_log,3.2189,3,184,65,301,0.02516722408026756
0.2146341463414634,0.024691358024691357,0.5714285714285714,0.047337278106508875,gaussian_noise,BATADAL,avg_negative_log_window_sweep,123,4,3,2,0.03999903300641667,1.0,avg_negative_log,3.2189,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,123,4,3,2,0.03999903300641667,1.0,avg_negative_log,3.2189,3,184,65,301,0.02516722408026756
0.1902439024390244,0.04046242774566474,1.0,0.07777777777777778,original,BATADAL,avg_negative_log_window_sweep,2026,4,3,2,0.03999903300641667,1.0,avg_negative_log,3.2189,3,184,65,301,0.02516722408026756
0.2048780487804878,0.041176470588235294,1.0,0.07909604519774012,gaussian_noise,BATADAL,avg_negative_log_window_sweep,2026,4,3,2,0.03999903300641667,1.0,avg_negative_log,3.2189,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,2026,4,3,2,0.03999903300641667,1.0,avg_negative_log,3.2189,3,184,65,301,0.02516722408026756
0.1902439024390244,0.04046242774566474,1.0,0.07777777777777778,original,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.03999903300641667,1.0,avg_negative_log,3.2189,3,184,65,301,0.02516722408026756
0.2146341463414634,0.041666666666666664,1.0,0.08,gaussian_noise,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.03999903300641667,1.0,avg_negative_log,3.2189,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.03999903300641667,1.0,avg_negative_log,3.2189,3,184,65,301,0.02516722408026756
0.1902439024390244,0.04046242774566474,1.0,0.07777777777777778,original,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.03999903300641667,1.0,avg_negative_log,3.2189,3,184,65,301,0.02516722408026756
0.21951219512195122,0.041916167664670656,1.0,0.08045977011494253,gaussian_noise,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.03999903300641667,1.0,avg_negative_log,3.2189,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.03999903300641667,1.0,avg_negative_log,3.2189,3,184,65,301,0.02516722408026756
0.4195121951219512,0.05555555555555555,1.0,0.10526315789473684,original,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.029998736946188608,1.0,avg_negative_log,3.5066,3,184,65,301,0.02516722408026756
0.44390243902439025,0.05785123966942149,1.0,0.109375,gaussian_noise,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.029998736946188608,1.0,avg_negative_log,3.5066,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.029998736946188608,1.0,avg_negative_log,3.5066,3,184,65,301,0.02516722408026756
0.4195121951219512,0.05555555555555555,1.0,0.10526315789473684,original,BATADAL,avg_negative_log_window_sweep,123,4,3,2,0.029998736946188608,1.0,avg_negative_log,3.5066,3,184,65,301,0.02516722408026756
0.4292682926829268,0.03389830508474576,0.5714285714285714,0.064,gaussian_noise,BATADAL,avg_negative_log_window_sweep,123,4,3,2,0.029998736946188608,1.0,avg_negative_log,3.5066,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,123,4,3,2,0.029998736946188608,1.0,avg_negative_log,3.5066,3,184,65,301,0.02516722408026756
0.4195121951219512,0.05555555555555555,1.0,0.10526315789473684,original,BATADAL,avg_negative_log_window_sweep,2026,4,3,2,0.029998736946188608,1.0,avg_negative_log,3.5066,3,184,65,301,0.02516722408026756
0.4146341463414634,0.05511811023622047,1.0,0.1044776119402985,gaussian_noise,BATADAL,avg_negative_log_window_sweep,2026,4,3,2,0.029998736946188608,1.0,avg_negative_log,3.5066,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,2026,4,3,2,0.029998736946188608,1.0,avg_negative_log,3.5066,3,184,65,301,0.02516722408026756
0.4195121951219512,0.05555555555555555,1.0,0.10526315789473684,original,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.029998736946188608,1.0,avg_negative_log,3.5066,3,184,65,301,0.02516722408026756
0.4292682926829268,0.056451612903225805,1.0,0.10687022900763359,gaussian_noise,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.029998736946188608,1.0,avg_negative_log,3.5066,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.029998736946188608,1.0,avg_negative_log,3.5066,3,184,65,301,0.02516722408026756
0.4195121951219512,0.05555555555555555,1.0,0.10526315789473684,original,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.029998736946188608,1.0,avg_negative_log,3.5066,3,184,65,301,0.02516722408026756
0.43902439024390244,0.05737704918032787,1.0,0.10852713178294573,gaussian_noise,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.029998736946188608,1.0,avg_negative_log,3.5066,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.029998736946188608,1.0,avg_negative_log,3.5066,3,184,65,301,0.02516722408026756
0.7853658536585366,0.10638297872340426,0.7142857142857143,0.18518518518518517,original,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.02000046011385546,1.0,avg_negative_log,3.912,3,184,65,301,0.02516722408026756
0.7902439024390244,0.10869565217391304,0.7142857142857143,0.18867924528301888,gaussian_noise,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.02000046011385546,1.0,avg_negative_log,3.912,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.02000046011385546,1.0,avg_negative_log,3.912,3,184,65,301,0.02516722408026756
0.7853658536585366,0.10638297872340426,0.7142857142857143,0.18518518518518517,original,BATADAL,avg_negative_log_window_sweep,123,4,3,2,0.02000046011385546,1.0,avg_negative_log,3.912,3,184,65,301,0.02516722408026756
0.7658536585365854,0.044444444444444446,0.2857142857142857,0.07692307692307693,gaussian_noise,BATADAL,avg_negative_log_window_sweep,123,4,3,2,0.02000046011385546,1.0,avg_negative_log,3.912,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,123,4,3,2,0.02000046011385546,1.0,avg_negative_log,3.912,3,184,65,301,0.02516722408026756
0.7853658536585366,0.10638297872340426,0.7142857142857143,0.18518518518518517,original,BATADAL,avg_negative_log_window_sweep,2026,4,3,2,0.02000046011385546,1.0,avg_negative_log,3.912,3,184,65,301,0.02516722408026756
0.7804878048780488,0.10416666666666667,0.7142857142857143,0.18181818181818182,gaussian_noise,BATADAL,avg_negative_log_window_sweep,2026,4,3,2,0.02000046011385546,1.0,avg_negative_log,3.912,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,2026,4,3,2,0.02000046011385546,1.0,avg_negative_log,3.912,3,184,65,301,0.02516722408026756
0.7853658536585366,0.10638297872340426,0.7142857142857143,0.18518518518518517,original,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.02000046011385546,1.0,avg_negative_log,3.912,3,184,65,301,0.02516722408026756
0.7902439024390244,0.10869565217391304,0.7142857142857143,0.18867924528301888,gaussian_noise,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.02000046011385546,1.0,avg_negative_log,3.912,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.02000046011385546,1.0,avg_negative_log,3.912,3,184,65,301,0.02516722408026756
0.7853658536585366,0.10638297872340426,0.7142857142857143,0.18518518518518517,original,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.02000046011385546,1.0,avg_negative_log,3.912,3,184,65,301,0.02516722408026756
0.7804878048780488,0.10416666666666667,0.7142857142857143,0.18181818181818182,gaussian_noise,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.02000046011385546,1.0,avg_negative_log,3.912,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.02000046011385546,1.0,avg_negative_log,3.912,3,184,65,301,0.02516722408026756
0.06341463414634146,0.035175879396984924,1.0,0.06796116504854369,original,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.0800022915774806,1.0,avg_negative_log,2.5257,5,184,65,301,0.02516722408026756
0.07804878048780488,0.03571428571428571,1.0,0.06896551724137931,gaussian_noise,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.0800022915774806,1.0,avg_negative_log,2.5257,5,184,65,301,0.02516722408026756
0.125,0.06666666666666667,1.0,0.125,unseen_data,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.0800022915774806,1.0,avg_negative_log,2.5257,5,184,65,301,0.02516722408026756
